ID|Filename|Format|Source Path
65|CDA_0287.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0287.MOV
66|CDA_0289.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0289.MOV
67|CDA_0290.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0290.MOV
68|CDA_0291.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0291.MOV
69|CDA_0293.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-12-11 Christmas Recital/CDA_0293.MOV
70|DSC_0526.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-08-31 Grandparent's Day/DSC_0526.MOV
71|DSC_0532.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-08-31 Grandparent's Day/DSC_0532.MOV
72|DSC_0533.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/Lightroom CC Downloaded Backup 2018/2018/2018/2018-08-31 Grandparent's Day/DSC_0533.MOV
73|Retro Title - Gender Reveal w background img.mp4|mp4|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Retro Title - Gender Reveal w background img.mp4
74|Retro Title - Gender Reveal.mp4|mp4|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Retro Title - Gender Reveal.mp4
75|DJI_0165.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0165.MOV
76|DJI_0190.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0190.MOV
77|DJI_0191.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0191.MOV
78|DJI_0192.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0192.MOV
79|DJI_0193.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0193.MOV
80|DJI_0194.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0194.MOV
81|DJI_0195.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0195.MOV
